curr_vel_x,curr_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,action_x,action_y,time_action,time_step
1.5,0.0,1.49,0.17,0.11,0.4,5.17,-0.33,0.0,0.550000011920929,0.019999999552965164,0.0017452239990234375,0.1
1.5,0.0,1.49,0.18,0.12,0.4,5.32,-0.33,0.0,0.550000011920929,0.05000000074505806,0.0013668537139892578,0.1
1.5,0.0,1.49,0.19,0.13,0.4,5.47,-0.33,0.0,0.550000011920929,0.09000000357627869,0.0013568401336669922,0.1
1.5,0.0,1.49,0.2,0.14,0.4,5.62,-0.33,0.0,0.550000011920929,0.11999999731779099,0.0013992786407470703,0.1
1.5,0.0,1.48,0.22,0.14,0.4,5.77,-0.33,0.0,0.5199999809265137,0.1899999976158142,0.0015456676483154297,0.1
1.49,0.1,1.48,0.23,0.15,0.4,5.91,-0.32,0.06,0.5600000023841858,-0.09000000357627869,0.0015027523040771484,0.1
1.5,0.1,1.48,0.24,0.16,0.4,6.06,-0.31,0.06,0.5400000214576721,-0.05999999865889549,0.0014710426330566406,0.1
1.5,0.1,1.48,0.25,0.17,0.4,6.21,-0.3,0.06,0.5400000214576721,-0.019999999552965164,0.0014469623565673828,0.1
1.5,0.1,1.48,0.26,0.18,0.4,6.36,-0.29,0.06,0.5299999713897705,0.009999999776482582,0.001508474349975586,0.1
1.5,0.1,1.47,0.28,0.19,0.4,6.51,-0.28,0.06,0.5099999904632568,0.07999999821186066,0.0015342235565185547,0.1
1.5,0.1,1.47,0.3,0.2,0.4,6.66,-0.27,0.06,0.5099999904632568,0.15000000596046448,0.0015003681182861328,0.1
1.49,0.1,1.46,0.32,0.22,0.4,6.81,-0.26,0.06,0.5099999904632568,0.23000000417232513,0.001726388931274414,0.1
1.47,0.21,1.46,0.35,0.23,0.4,6.96,-0.25,0.14,0.5699999928474426,-0.019999999552965164,0.001445770263671875,0.1
1.49,0.21,1.45,0.37,0.25,0.4,7.11,-0.23,0.14,0.5,0.05000000074505806,0.0014846324920654297,0.1
1.49,0.21,1.45,0.4,0.27,0.4,7.26,-0.21,0.14,0.49000000953674316,0.15000000596046448,0.0014545917510986328,0.1
1.48,0.21,1.43,0.45,0.3,0.4,7.4,-0.19,0.14,0.46000000834465027,0.3199999928474426,0.0015125274658203125,0.1
1.43,0.35,1.42,0.5,0.34,0.4,7.55,-0.16,0.24,0.5699999928474426,0.07999999821186066,0.001542806625366211,0.1
1.46,0.35,1.39,0.56,0.38,0.4,7.69,-0.12,0.24,0.41999998688697815,0.27000001072883606,0.0014331340789794922,0.1
