robot_id,action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
0.0,0.8100000023841858,0.46000000834465027,0.8100000023841858,0.46000000834465027,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.15092730522155762,0.1
0.0,0.8982061414938373,0.22272206778681036,0.33000001311302185,0.029999999329447746,0.57,0.19,0.6,-0.0,-0.0,0.4,0.06,0.01,0.33,0.12075018882751465,0.1
0.0,0.8560865369395364,0.1755702070250724,0.25,-0.029999999329447746,0.61,0.21,0.6,-0.0,-0.0,0.4,0.12,0.03,0.33,0.18320870399475098,0.1
0.0,0.857146343389012,0.18914613762945878,0.27000001072883606,-0.009999999776482582,0.59,0.2,0.6,-0.0,-0.01,0.4,0.18,0.05,0.33,0.13226532936096191,0.1
0.0,0.8266164389721813,0.16235817277430042,0.23000000417232513,-0.03999999910593033,0.6,0.2,0.6,-0.01,-0.01,0.4,0.24,0.07,0.33,0.10433006286621094,0.1
0.0,0.6771463362364546,0.09914613591582525,0.09000000357627869,-0.10000000149011612,0.59,0.2,0.6,-0.01,-0.01,0.4,0.3,0.09,0.33,0.12008500099182129,0.1
0.0,0.6720823985598599,0.12553379532017805,0.09000000357627869,-0.019999999552965164,0.58,0.15,0.6,-0.01,-0.01,0.4,0.35,0.11,0.24,0.2017991542816162,0.1
0.0,0.6517837668922031,0.1179593587915812,0.05999999865889549,-0.029999999329447746,0.59,0.15,0.6,-0.01,-0.02,0.4,0.41,0.12,0.24,0.08933806419372559,0.1
0.0,0.6317837673392379,0.10795935901509862,0.03999999910593033,-0.03999999910593033,0.59,0.15,0.6,-0.01,-0.02,0.4,0.47,0.14,0.24,0.08107280731201172,0.1
0.0,0.6017837680097902,0.09795935737597089,0.009999999776482582,-0.05000000074505806,0.59,0.15,0.6,-0.01,-0.02,0.4,0.53,0.15,0.24,0.1225426197052002,0.1
0.0,0.581783768456825,0.07795935782300573,-0.009999999776482582,-0.07000000029802322,0.59,0.15,0.6,-0.01,-0.02,0.4,0.59,0.17,0.24,0.2439720630645752,0.1
