robot_id,action_x,action_y,a_inc_x,a_inc_y,cur_vel_x,cur_vel_y,des_vel_x,des_vel_y,ori_goal,raidus,robot_pose_x,robot_pose_y,robot_ori,time_action,time_step
0.0,-0.6399999856948853,0.17000000178813934,-0.6399999856948853,0.17000000178813934,0.0,0.0,-0.65,0.0,3.14,0.4,9.0,5.0,3.14,0.001359701156616211,0.1
1.0,-0.30000001192092896,-0.10999999940395355,-0.30000001192092896,-0.10999999940395355,0.0,0.0,-0.53,-0.38,-2.51,0.4,8.24,7.35,3.77,0.0011813640594482422,0.1
2.0,-0.029999999329447746,-0.07000000029802322,-0.029999999329447746,-0.07000000029802322,0.0,0.0,-0.2,-0.62,-1.88,0.4,6.24,8.8,4.4,0.0011527538299560547,0.1
3.0,0.3700000047683716,-0.07000000029802322,0.3700000047683716,-0.07000000029802322,0.0,0.0,0.2,-0.62,-1.26,0.4,3.76,8.8,5.03,0.0011475086212158203,0.1
4.0,0.41999998688697815,0.10000000149011612,0.41999998688697815,0.10000000149011612,0.0,0.0,0.53,-0.38,-0.63,0.4,1.76,7.35,5.65,0.18711066246032715,0.1
5.0,0.5600000023841858,-0.07999999821186066,0.5600000023841858,-0.07999999821186066,0.0,0.0,0.65,-0.0,-0.0,0.4,1.0,5.0,6.28,0.006230831146240234,0.1
6.0,0.5600000023841858,0.1899999976158142,0.5600000023841858,0.1899999976158142,0.0,0.0,0.53,0.38,0.63,0.4,1.76,2.65,6.91,0.17858314514160156,0.1
7.0,0.36000001430511475,0.5099999904632568,0.36000001430511475,0.5099999904632568,0.0,0.0,0.2,0.62,1.26,0.4,3.76,1.2,7.54,0.14902138710021973,0.1
8.0,0.07000000029802322,0.6800000071525574,0.07000000029802322,0.6800000071525574,0.0,0.0,-0.2,0.62,1.88,0.4,6.24,1.2,8.17,0.13812470436096191,0.1
9.0,-0.019999999552965164,0.46000000834465027,-0.019999999552965164,0.46000000834465027,0.0,0.0,-0.53,0.38,2.51,0.4,8.24,2.65,8.8,0.11487698554992676,0.1
0.0,-0.6745996110833947,0.1729658548528834,-0.03999999910593033,0.09000000357627869,-0.63,0.08,-0.65,-0.0,-3.14,0.4,8.94,5.0,3.01,0.10413742065429688,0.1
1.0,-0.1634767011612549,0.05401885951311422,0.10999999940395355,0.20000000298023224,-0.27,-0.15,-0.53,-0.38,-2.51,0.4,8.21,7.33,-2.65,0.29054903984069824,0.1
2.0,-0.20472136670255317,0.07391548465685219,-0.18000000715255737,0.15000000596046448,-0.02,-0.08,-0.2,-0.62,-1.88,0.4,6.23,8.8,-1.88,0.35265231132507324,0.1
3.0,0.025130549015487808,0.18108939471682473,-0.10999999940395355,0.30000001192092896,0.14,-0.12,0.2,-0.62,-1.26,0.4,3.77,8.79,-0.72,0.11300778388977051,0.1
4.0,0.2245668174974194,0.27510864475512464,-0.05000000074505806,0.33000001311302185,0.27,-0.05,0.53,-0.38,-0.63,0.4,1.79,7.34,-0.2,0.4015040397644043,0.1
5.0,0.32858910866727375,-0.06972660272150741,-0.23000000417232513,-0.029999999329447746,0.56,-0.04,0.65,0.0,0.0,0.4,1.06,5.0,-0.07,0.34272289276123047,0.1
6.0,0.21740878710490624,0.02726347424019876,-0.2800000011920929,-0.23000000417232513,0.5,0.26,0.53,0.38,0.63,0.4,1.81,2.68,0.48,0.2737443447113037,0.1
7.0,-0.08139728825913473,0.4865189518068974,-0.3499999940395355,-0.05000000074505806,0.27,0.54,0.2,0.62,1.26,0.4,3.79,1.25,1.11,0.1564173698425293,0.1
